62,58,82,71,68,119
117,49,80,70,72,76
115,46,120,53,74,112
122,81,116,50,75,51
78,86,114,52,84,44
103,65,42,104,73,45
94,85,102,56,64,108
124,47,67,109,92,99
77,43,54,105,118,113
106,48,121,41,101,89
100,39,97,129,95,91
110,107,130,40,37,90
111,93,35,126,66,98
36,135,31,132,32,30
33,133,83,28,144,2
134,137,127,27,19,17
143,55,1,13,11,57
12,139,15,123,63,136
138,60,21,142,140,24
22,87,61,125,10,96
59,20,25,38,3,79
131,69,29,128,26,4
23,141,16,88,5,6
9,18,7,78,8,14
34,114,70,47,80,71
117,62,58,50,61,52
54,75,48,46,73,111
68,125,76,97,121,77
82,86,84,69,56,116
90,72,42,59,110,49
103,108,101,112,104,113
93,127,55,109,94,98
95,96,89,107,119,88
38,100,120,43,118,106
99,115,105,40,122,36
126,91,129,33,37,35
44,51,92,39,134,83
29,45,34,32,30,128
144,64,65,102,63,21
130,123,132,136,13,2
138,60,141,15,27,124
142,74,140,131,85,81
23,143,9,31,41,133
28,87,1,12,20,18
66,10,4,14,25,67
79,3,57,26,19,17
5,53,16,135,7,6
137,22,139,11,8,70
24,47,55,115,54,74
58,57,51,80,1,59
50,100,53,118,111,110
52,76,69,48,112,45
117,78,85,61,71,77
96,82,79,72,84,123
125,113,122,49,62,67
41,116,46,106,108,68
95,43,92,97,109,38
35,86,36,105,101,114
104,44,94,121,107,119
33,89,127,37,40,39
124,129,120,16,29,102
30,91,98,99,138,128
90,83,32,131,28,135
88,2,75,64,13,17
20,132,42,103,14,134
15,143,144,25,142,65
22,73,133,66,12,56
141,126,31,18,63,27
10,87,4,93,24,137
23,26,3,11,130,6
19,136,81,139,5,60
8,140,7,34,21,57
70,9,78,117,75,54
85,45,80,48,46,121
51,73,67,44,72,68
50,55,107,47,79,53
114,101,123,119,124,100
66,122,86,83,105,102
118,112,94,95,99,52
106,40,103,98,104,90
35,115,96,36,82,93
43,87,88,113,92,84
49,116,97,42,111,41
125,128,126,74,110,120
91,19,34,109,28,89
108,129,144,69,33,142
27,59,20,136,137,60
1,56,134,138,77,30
58,39,37,15,71,131
16,81,2,3,127,132
13,143,22,61,10,12
65,29,133,32,25,4
139,6,64,24,76,23
62,135,31,26,11,38
21,18,5,141,130,140
63,14,7,9,59,8
17,69,78,125,50,67
76,84,70,72,75,52
55,82,48,51,77,80
45,46,65,116,114,81
74,122,49,85,62,44
88,117,43,115,83,102
107,66,89,53,86,126
97,73,110,99,94,87
39,113,103,111,124,109
108,63,118,40,92,129
34,119,93,101,41,106
31,104,36,90,120,105
130,98,38,132,96,95
112,100,35,16,127,123
64,121,128,47,15,61
32,137,134,131,19,2
3,144,143,12,140,1
68,133,135,14,37,13
71,141,57,58,33,10
42,22,138,28,11,79
142,91,56,20,25,30
60,136,23,29,9,26
21,18,24,6,17,27
4,8,54,5,139,7
46,118,58,116,72,56
57,110,59,61,53,68
54,123,112,49,47,43
52,117,114,50,76,48
60,83,100,45,66,124
92,105,106,119,121,44
126,103,96,102,84,98
95,97,90,104,99,109
85,71,91,65,64,80
93,39,37,42,51,111
108,89,40,87,122,113
88,101,86,130,94,31
35,81,107,120,36,18
131,133,69,33,74,115
129,27,2,63,139,16
144,132,26,134,28,140
55,1,127,78,67,62
25,143,137,22,14,142
24,70,82,125,13,23
12,20,3,34,11,9
41,77,38,136,29,30
21,135,79,17,138,141
10,4,32,19,73,7
8,75,5,122,6,71
15,67,128,47,66,53
46,118,75,79,83,70
119,73,51,49,121,74
81,76,82,113,111,124
87,68,72,58,50,123
55,84,43,120,54,101
48,105,107,128,41,95
39,102,96,98,65,114
52,57,100,69,110,104
44,125,127,99,115,40
36,37,93,92,45,103
112,108,88,117,129,94
62,91,90,109,116,126
97,28,89,131,80,77
30,35,32,22,21,63
106,85,1,132,140,14
18,38,137,2,144,27
16,17,135,15,86,142
143,10,19,12,139,78
11,64,31,29,3,25
59,9,42,141,56,20
4,61,26,24,60,34
23,136,134,130,6,133
7,33,138,113,5,13
119,8,56,70,75,84
50,114,71,77,53,66
74,79,67,47,83,46
111,62,76,68,81,69
120,52,42,64,112,121
108,58,86,118,1,61
105,60,72,48,110,102
54,95,51,65,107,106
117,98,38,88,100,122
93,115,124,116,99,40
96,97,101,109,91,39
126,34,103,43,92,94
90,87,30,130,17,18
57,89,59,55,82,85
45,21,29,14,128,32
2,31,19,78,35,144
134,16,36,143,24,142
