164,74,103,104
78,99,75,65
67,70,98,119
108,105,106,68
71,64,73,157
100,77,155,61
66,111,60,160
59,63,72,132
69,158,159,154
56,162,112,161
62,50,147,95
54,168,143,101
152,97,172,90
166,96,87,52
53,113,55,92
115,167,47,173
102,58,145,169
48,45,171,114
46,163,181,107
178,49,118,146
39,151,116,156
135,137,136,139
130,140,165,131
170,134,125,142
86,91,149,174
138,141,88,81
148,175,42,120
150,44,43,128
144,126,133,177
41,183,182,94
122,40,176,110
121,123,32,33
127,34,18,37
184,153,85,29
84,185,179,21
2,93,187,193
14,196,129,89
194,1,195,30
80,192,26,79
28,24,188,11
189,38,13,117
57,124,83,51
27,10,76,109
9,3,180,35
186,190,31,23
25,36,4,82
20,19,22,16
5,7,191,15
12,6,17,8
99,128,72,88
74,91,158,95
109,75,155,124
73,161,69,153
89,68,122,101
159,60,149,87
164,104,59,67
169,66,55,110
52,64,157,152
100,96,97,63
156,163,92,105
81,168,57,103
48,166,53,62
54,171,148,167
102,93,115,56
49,112,107,119
177,111,90,114
154,83,147,86
47,50,170,44
77,182,108,113
123,82,172,85
45,139,140,151
116,132,71,70
121,94,51,144
117,145,141,61
174,142,131,136
178,134,129,173
143,127,150,39
118,106,138,37
165,125,184,179
38,135,133,98
18,137,175,188
41,162,146,33
120,35,84,32
34,160,186,76
1,21,196,80
79,126,15,130
78,42,43,2
185,190,195,25
189,46,29,26
58,13,22,65
20,183,11,194
30,16,28,24
9,40,3,187
176,4,181,31
180,193,192,23
191,36,17,8
5,7,6,27
19,87,14,10
12,98,92,159
158,80,122,152
70,75,78,131
103,68,89,66
155,73,86,135
74,101,116,97
166,151,162,96
91,50,54,100
128,63,94,154
88,61,95,104
60,81,161,156
64,105,157,52
59,57,62,160
170,163,53,175
93,43,147,153
84,108,165,145
90,85,79,178
171,107,149,139
47,99,150,76
169,111,48,51
56,44,167,49
125,109,42,124
130,174,132,55
142,140,82,102
144,83,118,46
143,119,134,141
45,146,127,148
138,40,164,176
39,172,137,123
180,133,16,168
177,115,117,120
126,121,35,29
36,41,33,182
185,113,136,32
181,21,106,37
2,112,1,20
187,13,34,196
12,17,188,192
191,110,67,65
15,18,129,186
24,184,194,27
22,58,195,69
77,19,11,72
9,179,25,23
4,183,193,14
189,26,190,31
28,3,114,71
30,75,153,6
173,38,10,7
5,8,75,105
116,93,78,157
122,114,163,118
76,160,84,116
119,77,170,101
116,79,101,83
70,122,97,155
118,160,122,114
115,83,98,118
109,94,64,104
167,78,79,98
69,166,57,64
62,118,88,80
120,111,161,72
161,73,78,98
75,79,121,122
75,135,113,73
117,166,156,108
76,60,121,80
117,124,112,117
100,61,98,75
96,160,124,123
161,77,115,121
160,74,99,91
75,129,77,122
78,76,115,156
124,77,68,158
60,89,74,73
74,101,70,95
74,109,75,119
69,74,84,101
89,78,125,155
118,103,69,78
720
