31,67,61,43
1,46,62,63
55,44,53,35
58,38,56,28
74,57,30,66
60,33,17,32
59,48,22,51
29,71,54,42
49,69,13,20
65,41,82,81
12,2,3,70
25,24,47,50
76,79,80,26
45,64,34,15
75,39,52,40
36,78,77,14
37,27,11,18
23,21,16,19
4,9,72,5
8,10,6,7
73,68,62,41
31,49,42,45
40,44,38,61
66,39,30,35
34,29,56,37
82,59,2,48
80,79,16,70
20,69,1,68
74,19,63,77
28,17,46,13
64,76,47,67
50,14,12,27
60,53,65,72
18,36,43,33
10,11,58,32
55,73,3,75
51,71,24,78
9,25,26,22
81,4,15,57
5,54,21,8
6,52,7,59
61,23,55,56
54,38,53,62
64,47,50,52
49,58,42,44
63,60,40,32
22,30,29,67
39,75,33,51
57,1,2,48
19,71,81,46
82,78,45,17
77,37,72,41
34,21,65,43
68,13,35,70
36,12,10,18
80,28,27,14
3,5,23,20
15,11,66,69
6,25,73,26
31,16,4,8
24,76,9,7
79,57,43,74
61,56,35,50
52,38,1,58
30,59,75,39
31,37,60,33
64,54,49,55
47,16,66,69
74,44,46,28
41,65,82,72
17,14,71,53
45,76,42,25
51,12,67,2
3,6,32,62
11,78,77,80
63,29,21,48
10,22,9,24
34,81,40,27
26,79,20,4
19,36,15,23
70,5,7,68
18,8,41,57
13,73,43,65
63,40,60,36
53,39,56,68
58,62,54,34
32,28,27,50
33,2,70,20
67,47,72,1
73,45,17,48
46,76,75,35
82,59,38,81
64,13,69,11
37,79,10,9
25,71,12,23
80,44,51,55
19,18,61,21
49,42,29,3
4,24,30,77
74,22,26,7
6,31,52,78
66,5,8,16
15,14,64,43
30,1,57,65
51,34,36,55
70,63,61,67
72,53,48,56
66,46,29,50
33,58,69,47
59,54,62,39
42,52,40,19
74,2,17,16
60,73,82,68
15,37,12,11
35,14,13,81
80,24,75,26
21,18,22,32
9,3,20,27
38,41,44,31
25,23,71,79
5,77,78,76
4,6,28,45
10,8,49,7
44,61,63,48
60,62,42,67
59,55,56,50
28,71,66,34
39,31,47,33
58,64,2,52
37,1,15,16
43,70,18,17
46,57,81,14
72,65,41,78
77,40,27,25
68,32,13,51
82,9,20,12
19,45,73,11
24,74,21,30
79,3,36,75
80,35,10,22
53,5,38,29
69,6,54,4
8,76,23,7
26,49,63,43
576
