45,35,44,28,49,41
61,60,19,18,2,1
20,26,42,59,40,17
37,16,58,12,46,11
57,22,47,53,13,24
25,51,56,30,50,32
55,38,33,9,29,21
34,23,27,36,31,48
3,43,5,54,6,52
7,10,8,4,39,15
14,2,45,41,40,61
31,43,30,39,59,56
53,1,19,36,25,16
47,49,17,48,12,54
50,14,60,58,51,10
55,46,44,52,38,4
32,33,34,35,37,26
23,27,22,3,29,28
42,57,15,21,24,6
5,18,11,13,20,7
9,47,42,53,43,8
49,1,3,52,2,19
32,31,61,41,44,48
30,18,16,13,60,58
35,36,21,51,50,11
45,37,28,23,38,46
40,33,39,34,17,14
25,12,56,55,20,24
59,29,9,27,5,7
54,10,22,26,4,15
57,8,33,35,1,41
61,60,6,28,2,3
44,59,42,52,56,53
57,50,16,32,40,23
54,15,13,14,12,51
39,34,55,49,29,47
58,10,45,36,9,27
19,24,38,46,31,21
25,22,20,30,18,48
4,43,26,5,7,37
6,17,21,8,31,11
1,46,41,30,53,29
42,61,44,2,15,55
43,17,59,52,60,11
14,37,36,35,32,40
34,48,51,25,38,19
20,47,16,56,57,28
23,27,3,33,45,12
22,10,26,24,50,5
4,54,7,39,58,6
18,8,49,13,43,9
40,2,21,49,31,46
47,39,34,58,44,52
59,61,56,53,1,37
57,15,51,14,42,23
20,13,11,50,48,33
45,38,26,35,54,29
9,60,36,28,32,4
24,10,22,41,5,7
30,27,25,8,18,3
6,55,17,12,45,19
46,30,28,47,16,22
40,33,48,41,30,31
378
